subjectID	scanner	order	block	run	trial	onsettime	ImageLeft	ImageRight	bidIndexLeft	bidIndexRight	IsleftGo	Response	PairType	Outcome	RT	bidLeft	bidRight	
cat_between_MRI_998	 1	 2	 01	 1	 33	 1.451595e+02	 KifkefMaklot2.bmp	 ChocolateParaMilk3.bmp	 12	 14	 0	 x	 1	 999	 999000.00	 5.77	 5.67	 
cat_between_MRI_998	 1	 2	 01	 1	 34	 1.551541e+02	 BagaleShtuhim.bmp	 Dubonim.bmp	 13	 11	 0	 x	 1	 999	 999000.00	 5.77	 5.81	 
cat_between_MRI_998	 1	 2	 01	 1	 35	 1.601598e+02	 KashitSour.bmp	 KinderBuenoWhite2.bmp	 51	 53	 1	 x	 2	 999	 999000.00	 4.81	 4.76	 
cat_between_MRI_998	 1	 2	 01	 1	 36	 1.631632e+02	 KinderBuenoBrown3.bmp	 KashitSour.bmp	 44	 51	 0	 x	 2	 999	 999000.00	 5.01	 4.81	 
cat_between_MRI_998	 1	 2	 01	 1	 37	 1.671509e+02	 Bounty.bmp	 Halva2.bmp	 15	 16	 0	 x	 1	 999	 999000.00	 5.62	 5.58	 
cat_between_MRI_998	 1	 2	 01	 1	 38	 1.731577e+02	 KashitSour.bmp	 BambaNugat.bmp	 51	 47	 1	 x	 2	 999	 999000.00	 4.81	 4.85	 
cat_between_MRI_998	 1	 2	 01	 1	 39	 1.771622e+02	 Apropo.bmp	 WerthersOriginal.bmp	 9	 10	 1	 x	 1	 999	 999000.00	 6.04	 5.85	 
cat_between_MRI_998	 1	 2	 01	 1	 40	 1.821511e+02	 Tictac.bmp	 Bounty.bmp	 17	 15	 1	 x	 1	 999	 999000.00	 5.57	 5.62	 
cat_between_MRI_998	 1	 2	 01	 1	 41	 1.871567e+02	 ChocolateParaMilk3.bmp	 Twix.bmp	 14	 7	 1	 x	 1	 999	 999000.00	 5.67	 6.13	 
cat_between_MRI_998	 1	 2	 01	 1	 42	 1.911612e+02	 ClickXLwhite4.bmp	 KinderBuenoBrown3.bmp	 43	 44	 1	 x	 2	 999	 999000.00	 5.03	 5.01	 
cat_between_MRI_998	 1	 2	 01	 1	 43	 1.971513e+02	 Tictac.bmp	 KifkefMaklot2.bmp	 17	 12	 1	 x	 1	 999	 999000.00	 5.57	 5.77	 
cat_between_MRI_998	 1	 2	 01	 1	 44	 2.051602e+02	 ChocolateParaCookies5.bmp	 BisliGrill.bmp	 45	 48	 0	 x	 2	 999	 999000.00	 4.96	 4.85	 
cat_between_MRI_998	 1	 2	 01	 1	 45	 2.141537e+02	 Tictac.bmp	 BagaleShtuhim.bmp	 17	 13	 1	 x	 1	 999	 999000.00	 5.57	 5.77	 
cat_between_MRI_998	 1	 2	 01	 1	 46	 2.171571e+02	 Bounty.bmp	 Apropo.bmp	 15	 9	 0	 x	 1	 999	 999000.00	 5.62	 6.04	 
cat_between_MRI_998	 1	 2	 01	 1	 47	 2.211616e+02	 ChocolateParaMilk3.bmp	 BagaleShtuhim.bmp	 14	 13	 1	 x	 1	 999	 999000.00	 5.67	 5.77	 
cat_between_MRI_998	 1	 2	 01	 1	 48	 2.281528e+02	 KashitSour.bmp	 DoritosNatural.bmp	 51	 52	 1	 x	 2	 999	 999000.00	 4.81	 4.79	 
cat_between_MRI_998	 1	 2	 01	 1	 49	 2.321572e+02	 BambaNugat.bmp	 ClickBalls5.bmp	 47	 46	 0	 x	 2	 999	 999000.00	 4.85	 4.91	 
cat_between_MRI_998	 1	 2	 01	 1	 50	 2.371629e+02	 Popco.bmp	 DoritosGrill.bmp	 8	 18	 1	 x	 1	 999	 999000.00	 6.12	 5.57	 
cat_between_MRI_998	 1	 2	 01	 1	 51	 2.421518e+02	 BagaleShtuhim.bmp	 Popco.bmp	 13	 8	 0	 x	 1	 999	 999000.00	 5.77	 6.12	 
cat_between_MRI_998	 1	 2	 01	 1	 52	 2.451552e+02	 Smarties.bmp	 ClickXLwhite4.bmp	 50	 43	 0	 x	 2	 999	 999000.00	 4.81	 5.03	 
cat_between_MRI_998	 1	 2	 01	 1	 53	 2.501607e+02	 Halva2.bmp	 Twix.bmp	 16	 7	 1	 x	 1	 999	 999000.00	 5.58	 6.13	 
cat_between_MRI_998	 1	 2	 01	 1	 54	 2.631587e+02	 BisliGrill.bmp	 BambaNugat.bmp	 48	 47	 1	 x	 2	 999	 999000.00	 4.85	 4.85	 
cat_between_MRI_998	 1	 2	 01	 1	 55	 2.661621e+02	 KinderBuenoBrown3.bmp	 Mentos.bmp	 44	 54	 0	 x	 2	 999	 999000.00	 5.01	 4.73	 
cat_between_MRI_998	 1	 2	 01	 1	 56	 2.691654e+02	 Apropo.bmp	 KifkefMaklot2.bmp	 9	 12	 1	 x	 1	 999	 999000.00	 6.04	 5.77	 
cat_between_MRI_998	 1	 2	 01	 1	 57	 2.811623e+02	 KashitSour.bmp	 Smarties.bmp	 51	 50	 1	 x	 2	 999	 999000.00	 4.81	 4.81	 
cat_between_MRI_998	 1	 2	 01	 1	 58	 2.851497e+02	 Tictac.bmp	 WerthersOriginal.bmp	 17	 10	 1	 x	 1	 999	 999000.00	 5.57	 5.85	 
