Cluster Index	Z	x	y	z	
12	4.7	-30	28	52
12	4.64	-10	22	62
12	4.6	-6	26	64.5
12	4.31	-2	46	32
12	4.3	-22	22	54.5
12	4.29	-2	38	54.5
11	5.2	-48	-70	34.5
11	4.65	-40	-66	32
11	4.53	-50	-52	34.5
11	4.29	-44	-68	42
11	3.97	-46	-78	39.5
11	3.93	-58	-52	42
10	4.76	-44	44	-18
10	4.71	-52	40	-15.5
10	4.38	-42	52	-10.5
10	4.19	-44	46	-10.5
10	3.9	-50	42	-3
10	3.82	-36	48	-18
9	5.27	38	-42	-20.5
9	4.42	44	-70	-15.5
9	4.22	42	-66	-10.5
9	4.14	40	-58	-28
9	4.05	36	-60	-33
9	3.96	36	-52	-15.5
8	4.55	-66	-20	-23
8	4.19	-62	-44	-20.5
8	4.16	-62	-48	-0.5
8	4.04	-68	-28	-25.5
8	4.01	-62	-38	-18
8	3.99	-64	-52	4.5
7	4.79	-4	-64	37
7	4.25	-10	-56	37
7	4.1	0	-74	44.5
7	3.36	0	-68	57
6	5.25	-34	-60	-13
6	3.65	-44	-64	-10.5
6	3.6	-42	-70	-15.5
6	3.56	-34	-78	-20.5
6	3.39	-32	-70	-18
5	4.57	-2	60	-20.5
5	4.31	0	56	-23
5	4.09	6	58	-18
5	4.06	-2	48	-13
5	3.61	-2	54	-15.5
4	4.2	-2	54	9.5
4	3.94	-2	50	9.5
4	3.76	-10	58	7
4	3.7	-2	64	14.5
4	3.46	-6	64	17
3	3.88	-44	8	57
3	3.87	-38	18	52
3	3.84	-42	16	49.5
2	3.75	-18	-54	-10.5
2	3.66	-24	-50	-15.5
2	3.64	-30	-56	-3
2	3.59	-28	-50	-18
2	3.57	-22	-54	-10.5
1	3.81	-60	16	19.5
1	3.73	-54	18	19.5
1	3.55	-58	22	27
