Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
10	370	4.48e-11	10.3	5.19	-46	-72	37	-44.9	-69.7	37.8	190	-46	-72	47	95.9
9	147	1.54e-05	4.81	4.61	-2	58	-20.5	-3.1	46.2	-16.1	111	-2	54	-15.5	54.9
8	97	0.000579	3.24	4.32	-40	-58	-15.5	-36.3	-59.5	-14.4	61.3	-46	-64	-10.5	40.9
7	92	0.000859	3.07	4.47	-42	46	-15.5	-40.1	42.1	-16.1	88.4	-48	48	-15.5	60.2
6	90	0.00101	3	4.25	40	-64	-15.5	43	-66.9	-13.8	109	46	-70	-18	58.5
5	80	0.00228	2.64	5.52	36	-42	-20.5	35.5	-44.3	-20.2	50.7	34	-48	-23	36.5
4	68	0.00634	2.2	4.59	-4	-64	37	-1.8	-67.6	38.6	139	0	-74	52	72.7
3	49	0.0363	1.44	3.98	2	44	9.5	-3.41	50.4	9.77	81.4	-2	54	9.5	61.8
2	48	0.0399	1.4	4.35	-10	-28	14.5	-9.86	-25.6	15	50.6	-12	-28	17	34.6
1	46	0.0485	1.31	3.94	-68	-50	2	-64.2	-49.9	-0.514	96.7	-66	-54	-5.5	68
