Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
8	113	0.000129	3.89	5.09	-48	44	-18	-45.4	43.7	-14	215	-48	44	-18	135
7	69	0.00479	2.32	3.87	-32	34	47	-35.9	26.3	48.4	154	-34	34	49.5	98
6	69	0.00479	2.32	4.36	-2	50	7	-0.84	50.2	7.15	170	0	50	7	121
5	65	0.00688	2.16	4.34	46	28	-15.5	50.5	31.3	-8.54	196	54	38	-8	127
4	65	0.00688	2.16	4.22	-48	-70	34.5	-48.2	-70	38.1	232	-52	-72	37	162
3	54	0.0193	1.71	4.34	-66	-18	-23	-64.3	-22.3	-15.9	107	-66	-26	-8	82.4
2	49	0.0314	1.5	4.19	-38	54	-3	-33.9	57.8	-3.11	184	-34	62	-3	136
1	48	0.0347	1.46	4.22	-48	-52	34.5	-53.1	-53	36.4	163	-60	-52	42	113
