Cluster Index	Z	x	y	z	
8	5.09	-48	44	-18
8	4.06	-38	46	-15.5
8	3.24	-54	36	-5.5
7	3.87	-32	34	47
7	3.73	-36	30	47
7	3.55	-38	20	52
7	3.42	-44	16	49.5
7	3.39	-30	26	49.5
7	3.26	-38	24	52
6	4.36	-2	50	7
6	3.92	6	52	4.5
6	3.79	-10	44	4.5
5	4.34	46	28	-15.5
5	4.09	56	32	-3
5	3.9	54	32	-8
4	4.22	-48	-70	34.5
4	4.08	-44	-68	42
4	3.86	-52	-72	37
4	3.67	-54	-68	37
4	3.63	-46	-74	39.5
3	4.34	-66	-18	-23
3	3.92	-60	-28	-10.5
2	4.19	-38	54	-3
2	3.82	-34	60	-3
2	3.51	-26	58	-5.5
1	4.22	-48	-52	34.5
1	3.69	-58	-52	42
1	3.6	-54	-56	29.5
